,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,age_batiment,PrimaryPropertyType
684,369291.5,2.57,1.0,1,30004,90.0,37,Warehouse
687,10960107.0,416.07,1.0,3,39971,65.6,88,Other
689,509836.1875,21.93,1.0,2,33589,90.0,102,Worship Facility
692,3220635.25,22.65,1.0,3,43500,46.0,37,Small- and Mid-Sized Office
693,1896298.875,37.78,1.0,2,28492,12.0,38,Small- and Mid-Sized Office
694,1401315.875,9.77,1.0,3,22325,77.0,53,Small- and Mid-Sized Office
695,1358519.0,9.47,1.0,3,22719,77.0,39,Other
697,7251589.0,50.55,1.0,2,44588,66.0,70,Other
715,6787070.0,169.75,1.0,2,147545,69.0,99,Retail Store
716,1114384.625,7.77,1.0,2,21462,80.0,93,Other
726,1362523.0,63.48,1.0,2,28072,57.2,99,Other
730,4970047.0,207.6,1.0,2,31020,49.8,61,Other
731,1636649.125,29.62,1.0,2,21600,56.0,99,Small- and Mid-Sized Office
732,4322873.0,141.2,1.0,5,61825,59.0,42,Small- and Mid-Sized Office
735,1408291.375,9.82,1.0,3,64630,96.0,74,Small- and Mid-Sized Office
736,1042108.5,42.19,1.0,2,20920,15.0,68,Worship Facility
742,608359.6875,25.24,1.0,2,22128,94.0,90,Worship Facility
745,859236.625,24.02,1.0,1,48139,98.0,48,Retail Store
750,965651.125,43.8,1.0,2,21364,86.0,67,Worship Facility
768,439311.9063,15.27,1.0,2,28923,80.6,24,Other
770,323739.4063,6.33,1.0,3,21600,81.0,88,Other
773,1169394.875,18.1,1.0,1,25735,82.0,20,Retail Store
775,4801472.0,154.17,1.0,2,25862,20.0,60,Retail Store
776,3377209.75,29.54,1.0,2,49965,82.0,13,Retail Store
780,511797.4063,14.22,1.0,2,20028,95.0,87,Small- and Mid-Sized Office
782,552007.5,9.95,1.0,7,23622,100.0,116,Small- and Mid-Sized Office
783,883197.6875,6.16,1.0,3,23563,67.0,114,Small- and Mid-Sized Office
784,1062722.625,24.25,1.0,3,28600,83.0,113,Mixed Use Property
785,2186018.5,15.24,1.0,2,38539,55.0,38,Mixed Use Property
786,1989287.0,13.87,1.0,5,26840,24.0,110,Small- and Mid-Sized Office
787,1245187.5,8.68,1.0,2,46800,86.0,110,Retail Store
788,2067352.5,14.63,1.0,3,63990,51.0,37,Small- and Mid-Sized Office
789,1345025.75,28.81,1.0,3,28800,50.0,108,Small- and Mid-Sized Office
792,1696978.75,60.43,1.0,3,33552,75.0,62,Small- and Mid-Sized Office
793,1560461.75,33.78,1.0,2,26270,32.0,85,Retail Store
794,2385395.0,16.63,1.0,3,57620,50.0,90,Small- and Mid-Sized Office
796,418348.5,2.92,1.0,2,28696,56.6,62,Mixed Use Property
797,2443065.25,66.29,1.0,5,57800,87.0,26,Hotel
805,1858224.625,12.95,1.0,2,31890,2.0,61,Other
806,1441900.5,41.69,1.0,2,44098,53.0,91,Small- and Mid-Sized Office
807,3532966.5,126.78,1.0,3,22381,47.2,93,Other
809,33268410.0,1266.06,0.0,4,49249,45.2,90,Other
810,439521.0938,11.14,1.0,1,24825,80.6,91,Retail Store
815,1553208.375,10.83,1.0,4,26670,51.0,64,Other
819,3095882.0,86.02,1.0,2,37740,54.6,94,Other
828,1067153.75,30.33,1.0,1,23752,88.6,51,Small- and Mid-Sized Office
829,2669564.25,72.78,1.0,4,44416,61.0,49,Hotel
830,2547848.0,30.6,1.0,2,33792,53.8,10,Mixed Use Property
847,1145535.75,36.43,1.0,2,45991,77.0,88,Worship Facility
858,605130.6875,4.22,1.0,3,21499,85.0,95,Other
859,1791071.375,13.91,1.0,2,20384,16.0,27,Small- and Mid-Sized Office
861,5238803.0,47.12,1.0,2,39265,69.4,60,Retail Store
862,6778694.0,63.61,1.0,2,54284,18.0,60,Retail Store
863,2545405.0,28.41,1.0,1,23409,67.0,60,Retail Store
864,4644178.0,47.66,1.0,1,63153,63.4,19,Retail Store
867,1587454.75,46.57,2.0,2,24100,91.0,55,Hotel
868,4475650.0,101.99,1.0,3,33600,36.0,93,Other
873,1857154.75,74.92,1.0,4,32356,81.0,89,Other
874,3993913.25,126.3,1.0,7,61180,24.0,56,Hotel
875,3460275.5,99.15,1.0,5,43506,51.0,38,Small- and Mid-Sized Office
882,496477.3125,18.66,1.0,2,23931,88.0,106,Worship Facility
883,845961.375,32.64,1.0,2,21393,57.0,68,Worship Facility
887,1132489.625,33.23,1.0,2,47560,80.0,26,Mixed Use Property
888,1076733.25,34.98,1.0,6,62334,100.0,10,Other
890,1500309.75,64.51,1.0,3,20960,57.2,86,Other
894,717056.375,8.45,1.0,3,28800,62.0,106,Other
895,1261536.75,38.87,1.0,2,21600,72.0,59,Other
